乙肝核心抗体 嗜碱细胞% 红细胞平均血红蛋白浓度,0.003312399
嗜碱细胞% 年龄^2,0.003103991
*天门冬氨酸氨基转换酶 性别 红细胞平均体积,0.003059281
乙肝核心抗体 乙肝表面抗体 血红蛋白,0.003014079
尿酸 甘油三酯 高密度脂蛋白胆固醇,0.003007174
*r-谷氨酰基转换酶 总胆固醇^2,0.002413895
乙肝表面抗体 体检日期 甘油三酯,0.002259716
乙肝核心抗体 年龄 淋巴细胞%,0.00195564
嗜酸细胞% 尿酸 高密度脂蛋白胆固醇,0.001850217
嗜酸细胞% 白细胞计数 血红蛋白,0.001728263
甘油三酯 白细胞计数 血小板计数,0.00167762
*丙氨酸氨基转换酶 体检日期 甘油三酯,0.001615467
单核细胞% 甘油三酯 红细胞平均血红蛋白浓度,0.0015329
性别 白蛋白^2,0.001503636
白蛋白 红细胞体积分布宽度 红细胞平均体积,0.001433053
低密度脂蛋白胆固醇 年龄 淋巴细胞%,0.001405327
年龄^2 甘油三酯,0.001364256
年龄^2 性别,0.001358612
年龄 性别 肌酐,0.001325708
乙肝表面抗体 甘油三酯 血小板计数,0.001265285
尿素 尿酸 总胆固醇,0.001232097
红细胞体积分布宽度^2 红细胞平均体积,0.001204918
*r-谷氨酰基转换酶 低密度脂蛋白胆固醇 血小板体积分布宽度,0.001185791
体检日期 白细胞计数 血小板体积分布宽度,0.001184763
尿素 甘油三酯 红细胞平均血红蛋白浓度,0.00115155
淋巴细胞% 甘油三酯 肌酐,0.001146602
乙肝表面抗体 体检日期 血小板平均体积,0.001123724
白细胞计数^2 血红蛋白,0.001115047
*r-谷氨酰基转换酶 乙肝核心抗体 年龄,0.001098831
总胆固醇 甘油三酯 肌酐,0.001089608
乙肝核心抗体 总胆固醇 红细胞平均血红蛋白浓度,0.000982088
*碱性磷酸酶 乙肝表面抗体 单核细胞%,0.000979107
乙肝表面抗体 尿酸 白球比例,0.000969085
性别 红细胞平均血红蛋白浓度 血小板平均体积,0.000951751
*r-谷氨酰基转换酶 *天门冬氨酸氨基转换酶,0.00094979
中性粒细胞% 淋巴细胞% 白细胞计数,0.000939087
乙肝核心抗体 嗜酸细胞% 红细胞平均血红蛋白浓度,0.000931525
单核细胞% 甘油三酯 血红蛋白,0.000925198
乙肝核心抗体 低密度脂蛋白胆固醇 红细胞平均血红蛋白浓度,0.000904495
乙肝e抗体 白蛋白 红细胞平均体积,0.000884274
体检日期 单核细胞% 淋巴细胞%,0.000877884
嗜碱细胞% 尿酸 总胆固醇,0.000871901
乙肝核心抗体 红细胞计数 血小板计数,0.000844429
中性粒细胞% 年龄 红细胞计数,0.000803362
低密度脂蛋白胆固醇 年龄^2,0.00079255
*总蛋白^2 乙肝e抗体,0.000788521
*丙氨酸氨基转换酶 尿素 年龄,0.00078781
*r-谷氨酰基转换酶 *丙氨酸氨基转换酶 乙肝e抗体,0.000762143
尿素 年龄 淋巴细胞%,0.000762128
*r-谷氨酰基转换酶 嗜酸细胞% 淋巴细胞%,0.00073353
甘油三酯 肌酐,0.005437004
年龄 血红蛋白,0.00388258
甘油三酯 红细胞平均血红蛋白浓度,0.003371187
*r-谷氨酰基转换酶 年龄,0.002871262
年龄 甘油三酯,0.002678123
白蛋白 血小板计数,0.002282363
*球蛋白 年龄,0.002215583
*丙氨酸氨基转换酶 *碱性磷酸酶,0.002173713
体检日期 红细胞平均体积,0.001920146
尿酸 红细胞平均体积,0.001883748
